sno,occupation_title,nco_2015,nco_2004,division,subdivision,group,family,description,embed_data
222,Associate – Analytics,2120.0501,,Professionals,Science and Engineering Professionals,"Mathematicians, Actuaries and Statisticians","Mathematicians, Actuaries and Statisticians","Associate-Analytics is a role focused on data tracking and dashboard creation for business managers. Responsibilities include developing research protocols, analytical frameworks, and applying quantitative techniques to identify patterns and relationships within data. Individuals will build statistical models to find new insights and support business decision-making. The role requires expertise in mathematics, statistics, and data analysis.","The occupation Associate – Analytics NCO 2015: 2120.0501, NCO 2004:  belongs to division Professionals, subdivision Science and Engineering Professionals, group Mathematicians, Actuaries and Statisticians, and family Mathematicians, Actuaries and Statisticians. Description: Associate-Analytics is a role focused on data tracking and dashboard creation for business managers. Responsibilities include developing research protocols, analytical frameworks, and applying quantitative techniques to identify patterns and relationships within data. Individuals will build statistical models to find new insights and support business decision-making. The role requires expertise in mathematics, statistics, and data analysis."
223,"Mathematicians, Actuaries and Statisticians, Other",2120.99,2122.9,Professionals,Science and Engineering Professionals,"Mathematicians, Actuaries and Statisticians","Mathematicians, Actuaries and Statisticians","Financial and mathematical associate professionals place value on financial transactions, analyze loan applications, and perform mathematical calculations. They buy and sell financial instruments and provide decision-making based on data analysis. This role involves maintaining records and managing financial processes.","The occupation Mathematicians, Actuaries and Statisticians, Other NCO 2015: 2120.9900, NCO 2004: 2122.90 belongs to division Professionals, subdivision Science and Engineering Professionals, group Mathematicians, Actuaries and Statisticians, and family Mathematicians, Actuaries and Statisticians. Description: Financial and mathematical associate professionals place value on financial transactions, analyze loan applications, and perform mathematical calculations. They buy and sell financial instruments and provide decision-making based on data analysis. This role involves maintaining records and managing financial processes."
224,Mathematician,2120.01,2121.1,Professionals,Science and Engineering Professionals,"Mathematicians, Actuaries and Statisticians","Mathematicians, Actuaries and Statisticians","Mathematicians, Actuaries and Statisticians solve mathematical problems to analyze economic and scientific issues. They develop new mathematical tools and apply principles to solve problems in various fields such as mechanics and power transmission.","The occupation Mathematician NCO 2015: 2120.0100, NCO 2004: 2121.10 belongs to division Professionals, subdivision Science and Engineering Professionals, group Mathematicians, Actuaries and Statisticians, and family Mathematicians, Actuaries and Statisticians. Description: Mathematicians, Actuaries and Statisticians solve mathematical problems to analyze economic and scientific issues. They develop new mathematical tools and apply principles to solve problems in various fields such as mechanics and power transmission."
225,Actuary,2120.02,2121.2,Professionals,Science and Engineering Professionals,"Mathematicians, Actuaries and Statisticians","Mathematicians, Actuaries and Statisticians","Actuary assesses insurance risk through statistical analysis and calculation of premiums. They gather data, analyze potential losses, and determine appropriate insurance rates for various risks, considering market conditions and future trends. They prepare insurance contracts and liabilities assessments.","The occupation Actuary NCO 2015: 2120.0200, NCO 2004: 2121.20 belongs to division Professionals, subdivision Science and Engineering Professionals, group Mathematicians, Actuaries and Statisticians, and family Mathematicians, Actuaries and Statisticians. Description: Actuary assesses insurance risk through statistical analysis and calculation of premiums. They gather data, analyze potential losses, and determine appropriate insurance rates for various risks, considering market conditions and future trends. They prepare insurance contracts and liabilities assessments."
226,Statistician,2120.03,2122.1,Professionals,Science and Engineering Professionals,"Mathematicians, Actuaries and Statisticians","Mathematicians, Actuaries and Statisticians","Statistician develops and applies quantitative data analysis methods across various fields. They determine data requirements, devise solutions, and interpret results. Their primary duties include collecting, tabulating, and analyzing data, reducing data based on available information, and presenting findings through charts and summaries. Specialization may involve areas like financial or industrial statistics.","The occupation Statistician NCO 2015: 2120.0300, NCO 2004: 2122.10 belongs to division Professionals, subdivision Science and Engineering Professionals, group Mathematicians, Actuaries and Statisticians, and family Mathematicians, Actuaries and Statisticians. Description: Statistician develops and applies quantitative data analysis methods across various fields. They determine data requirements, devise solutions, and interpret results. Their primary duties include collecting, tabulating, and analyzing data, reducing data based on available information, and presenting findings through charts and summaries. Specialization may involve areas like financial or industrial statistics."
227,"Chemist, Biological",2131.13,2212.1,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Chemist, Biological conducts metabolic studies in plants and animals to determine nutritional needs, identify poisons, and develop pharmaceuticals. They perform tests using chromatography, electrophoresis, spectrophotometry, and radioactive tracers to analyze biological fluids and isolate enzymes. The role involves basic biochemical analysis of plant, animal, and microbial materials.","The occupation Chemist, Biological NCO 2015: 2131.1300, NCO 2004: 2212.10 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Chemist, Biological conducts metabolic studies in plants and animals to determine nutritional needs, identify poisons, and develop pharmaceuticals. They perform tests using chromatography, electrophoresis, spectrophotometry, and radioactive tracers to analyze biological fluids and isolate enzymes. The role involves basic biochemical analysis of plant, animal, and microbial materials."
228,"Chemist, Food",2131.14,2212.2,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Food chemist conducts research and analysis to develop and improve food products, including new ingredients, additives, and preservation methods. They study food composition and properties, performing tests and quality control to ensure compliance with food laws and standards. This role involves experimentation with natural and synthetic materials and processes, analyzing food samples to meet quality and purity requirements.","The occupation Chemist, Food NCO 2015: 2131.1400, NCO 2004: 2212.20 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Food chemist conducts research and analysis to develop and improve food products, including new ingredients, additives, and preservation methods. They study food composition and properties, performing tests and quality control to ensure compliance with food laws and standards. This role involves experimentation with natural and synthetic materials and processes, analyzing food samples to meet quality and purity requirements."
229,Plant Pathologist,2131.15,2212.7,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals",Plant Pathologist conducts research and testing related to plant diseases and decay. They examine diseased plants to identify the cause of problems and develop methods to prevent and control these diseases. This includes inoculating healthy plants with suspected organisms and studying plant growth and life cycles. They evaluate the effectiveness of control measures in both laboratory and field settings.,"The occupation Plant Pathologist NCO 2015: 2131.1500, NCO 2004: 2212.70 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Plant Pathologist conducts research and testing related to plant diseases and decay. They examine diseased plants to identify the cause of problems and develop methods to prevent and control these diseases. This includes inoculating healthy plants with suspected organisms and studying plant growth and life cycles. They evaluate the effectiveness of control measures in both laboratory and field settings."
230,Plant Physiologist,2131.18,2212.8,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Plant Physiologist studies plant functions and environmental impacts. They conduct experiments to analyze how factors like temperature, light, and nutrients affect plant growth, color, and yield. Their work includes correcting deficiencies in plants and researching the life history of resilient plant species, with a focus on land reclamation and desert adaptation.","The occupation Plant Physiologist NCO 2015: 2131.1800, NCO 2004: 2212.80 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Plant Physiologist studies plant functions and environmental impacts. They conduct experiments to analyze how factors like temperature, light, and nutrients affect plant growth, color, and yield. Their work includes correcting deficiencies in plants and researching the life history of resilient plant species, with a focus on land reclamation and desert adaptation."
231,"Biologist, General",2131.01,2211.1,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Biologist, General studies plant and animal life, conducts research on their origins, development, physiology, heredity, environment, reproduction, and adaptation. The role involves fieldwork and laboratory work across various scientific disciplines.","The occupation Biologist, General NCO 2015: 2131.0100, NCO 2004: 2211.10 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Biologist, General studies plant and animal life, conducts research on their origins, development, physiology, heredity, environment, reproduction, and adaptation. The role involves fieldwork and laboratory work across various scientific disciplines."
232,"Biologists, Botanists, Zoologists and Related Professionals, Other",2131.99,2211.9,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Biologists, botanists, zoologists, and related professionals conduct research into living organisms and their interactions with the environment. They study plant and animal life, focusing on their origins, development, physiology, heredity, and ecological roles. Their work spans various disciplines including botany, zoology, ecology, and genetics. They conduct field studies to investigate these areas.","The occupation Biologists, Botanists, Zoologists and Related Professionals, Other NCO 2015: 2131.9900, NCO 2004: 2211.90 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Biologists, botanists, zoologists, and related professionals conduct research into living organisms and their interactions with the environment. They study plant and animal life, focusing on their origins, development, physiology, heredity, and ecological roles. Their work spans various disciplines including botany, zoology, ecology, and genetics. They conduct field studies to investigate these areas."
233,Marine Biologist,2131.02,2211.15,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Marine Biologist studies marine life, including plants and animals, in coastal and offshore environments. They investigate water conditions like temperature and oxygen levels to determine how these factors affect marine organisms’ distribution and abundance. They collect samples and research the evolution of marine life, and may specialize in freshwater fish.","The occupation Marine Biologist NCO 2015: 2131.0200, NCO 2004: 2211.15 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Marine Biologist studies marine life, including plants and animals, in coastal and offshore environments. They investigate water conditions like temperature and oxygen levels to determine how these factors affect marine organisms’ distribution and abundance. They collect samples and research the evolution of marine life, and may specialize in freshwater fish."
234,Cytologist,2131.03,2211.2,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Cytologist analyzes diseases by examining samples under a microscope. They diagnose conditions based on chemical analysis and reports, providing findings to physicians for treatment. They also conduct experiments on animals to study biological processes and perform autopsies to identify structural changes. Specializations include haematology, virology, histopathology, and chemical pathology.","The occupation Cytologist NCO 2015: 2131.0300, NCO 2004: 2211.20 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Cytologist analyzes diseases by examining samples under a microscope. They diagnose conditions based on chemical analysis and reports, providing findings to physicians for treatment. They also conduct experiments on animals to study biological processes and perform autopsies to identify structural changes. Specializations include haematology, virology, histopathology, and chemical pathology."
235,"Botanist, General",2131.04,2211.35,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Botanist, General studies plants’ origins, development, and uses, particularly for agriculture and horticulture. They conduct field research, collect plant specimens, and analyze their growth influenced by environmental factors. The role involves identifying and classifying plants, studying cellular and tissue structures, and developing new methods for plant growth and medicinal applications.","The occupation Botanist, General NCO 2015: 2131.0400, NCO 2004: 2211.35 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Botanist, General studies plants’ origins, development, and uses, particularly for agriculture and horticulture. They conduct field research, collect plant specimens, and analyze their growth influenced by environmental factors. The role involves identifying and classifying plants, studying cellular and tissue structures, and developing new methods for plant growth and medicinal applications."
236,Economic Botanist,2131.05,2211.37,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Economic Botanist studies valuable plants to determine their suitability for food, industrial uses, and medicinal purposes. They grow and test plants under controlled conditions to optimize growth and quality, focusing on oil-bearing trees, resins, and other economic crops.","The occupation Economic Botanist NCO 2015: 2131.0500, NCO 2004: 2211.37 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Economic Botanist studies valuable plants to determine their suitability for food, industrial uses, and medicinal purposes. They grow and test plants under controlled conditions to optimize growth and quality, focusing on oil-bearing trees, resins, and other economic crops."
237,Plant Breeder,2131.06,2211.4,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Plant Breeder conducts research and experimentation to develop improved plant varieties for various economic purposes, including food production, fiber, medicines, and industrial uses. They select, test, and cross-breed plants to optimize their growth and yield.","The occupation Plant Breeder NCO 2015: 2131.0600, NCO 2004: 2211.40 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Plant Breeder conducts research and experimentation to develop improved plant varieties for various economic purposes, including food production, fiber, medicines, and industrial uses. They select, test, and cross-breed plants to optimize their growth and yield."
238,Mycologist,2131.07,2211.5,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Hematologist, Virologist, and Histopathologist. This role involves conducting research and diagnostic tests by examining samples using microscopes and instruments. They diagnose diseases based on chemical analysis and reports, providing diagnoses to physicians for treatment. The position may specialize in examining human tissue, such as blood, and studying pathological processes.","The occupation Mycologist NCO 2015: 2131.0700, NCO 2004: 2211.50 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Hematologist, Virologist, and Histopathologist. This role involves conducting research and diagnostic tests by examining samples using microscopes and instruments. They diagnose diseases based on chemical analysis and reports, providing diagnoses to physicians for treatment. The position may specialize in examining human tissue, such as blood, and studying pathological processes."
239,Algologist,2131.08,2211.55,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Dentist, Dental Surgeon treats teeth and gums, diagnosing and treating diseases and disorders. They perform clinical examinations, analyze mouth and teeth, and utilize specialized techniques to restore oral health.","The occupation Algologist NCO 2015: 2131.0800, NCO 2004: 2211.55 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Dentist, Dental Surgeon treats teeth and gums, diagnosing and treating diseases and disorders. They perform clinical examinations, analyze mouth and teeth, and utilize specialized techniques to restore oral health."
240,"Zoologist, General",2131.09,2211.6,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Zoologist, General is a scientist specializing in the study of animals, particularly mammals and birds. They collect, breed, and analyze animals in captivity for research and knowledge of wildlife management. This role involves examining animal characteristics, interpreting data, and potentially specializing in areas like embryo studies or bird biology.","The occupation Zoologist, General NCO 2015: 2131.0900, NCO 2004: 2211.60 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Zoologist, General is a scientist specializing in the study of animals, particularly mammals and birds. They collect, breed, and analyze animals in captivity for research and knowledge of wildlife management. This role involves examining animal characteristics, interpreting data, and potentially specializing in areas like embryo studies or bird biology."
241,Entomologist,2131.1,2211.65,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Entomologist conducts research and studies insects, primarily mice, monkeys, and birds, in captivity to understand their life cycles and implications for wildlife management. They analyze data and provide insights into animal behavior and development. They may specialize in insect biology and are involved in teaching students.","The occupation Entomologist NCO 2015: 2131.1000, NCO 2004: 2211.65 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Entomologist conducts research and studies insects, primarily mice, monkeys, and birds, in captivity to understand their life cycles and implications for wildlife management. They analyze data and provide insights into animal behavior and development. They may specialize in insect biology and are involved in teaching students."
242,Parasitologist,2131.11,2211.7,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Parasitologist conducts research and develops methods for controlling and treating parasitic infections, primarily focusing on animal and human parasites like protozoa, roundworms, and tapeworms. They collect parasites from various sources and study their impact. They may specialize in bee or silk worm rearing and may teach students.","The occupation Parasitologist NCO 2015: 2131.1100, NCO 2004: 2211.70 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Parasitologist conducts research and develops methods for controlling and treating parasitic infections, primarily focusing on animal and human parasites like protozoa, roundworms, and tapeworms. They collect parasites from various sources and study their impact. They may specialize in bee or silk worm rearing and may teach students."
243,Bacteriologist,2131.12,2211.85,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Biologists, Botanists, Zoologists and Related Professionals","Dairy Bacteriologist specializes in studying microorganisms' effects on living tissues and organic matter. They analyze bacterial byproducts and develop weakened strains for vaccination and other applications. They also research methods for utilizing bacteria in industry and record findings. This role may focus on specific areas like dairy, food, or veterinary applications.","The occupation Bacteriologist NCO 2015: 2131.1200, NCO 2004: 2211.85 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Biologists, Botanists, Zoologists and Related Professionals. Description: Dairy Bacteriologist specializes in studying microorganisms' effects on living tissues and organic matter. They analyze bacterial byproducts and develop weakened strains for vaccination and other applications. They also research methods for utilizing bacteria in industry and record findings. This role may focus on specific areas like dairy, food, or veterinary applications."
244,Agronomist,2132.01,2213.1,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Farming, Forestry and Fisheries Advisors","Mixed Crop Growers: This role involves overseeing the management of cultivated crops, including manure preparation, weed control, pesticide application, and crop protection. It encompasses recruitment, staff supervision, equipment maintenance, and financial administration, with a focus on market analysis and product distribution. The position’s main duty is to ensure the successful production and sale of various crops.","The occupation Agronomist NCO 2015: 2132.0100, NCO 2004: 2213.10 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Farming, Forestry and Fisheries Advisors. Description: Mixed Crop Growers: This role involves overseeing the management of cultivated crops, including manure preparation, weed control, pesticide application, and crop protection. It encompasses recruitment, staff supervision, equipment maintenance, and financial administration, with a focus on market analysis and product distribution. The position’s main duty is to ensure the successful production and sale of various crops."
245,Horticulturist,2132.02,2213.2,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Farming, Forestry and Fisheries Advisors","Horticulturist manages farming and forestry operations, overseeing planting, irrigation, harvesting, and crop production. They plan and construct landscaping features like planters and patios, and cultivate specialized crops like hay and rye. Responsibilities include supervising staff, maintaining records, and selling crops to customers. They may also perform product cleaning and grading.","The occupation Horticulturist NCO 2015: 2132.0200, NCO 2004: 2213.20 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Farming, Forestry and Fisheries Advisors. Description: Horticulturist manages farming and forestry operations, overseeing planting, irrigation, harvesting, and crop production. They plan and construct landscaping features like planters and patios, and cultivate specialized crops like hay and rye. Responsibilities include supervising staff, maintaining records, and selling crops to customers. They may also perform product cleaning and grading."
246,Soil Scientist,2132.03,2213.3,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Farming, Forestry and Fisheries Advisors","Soil Scientist analyzes soil samples, collecting and analyzing soil properties like composition, water content, and nitrogen levels. They weigh soil, test its physical and chemical characteristics, and adjust soil composition to enhance yield. They maintain records and prepare chemicals for testing, ensuring accurate data collection and laboratory standards.","The occupation Soil Scientist NCO 2015: 2132.0300, NCO 2004: 2213.30 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Farming, Forestry and Fisheries Advisors. Description: Soil Scientist analyzes soil samples, collecting and analyzing soil properties like composition, water content, and nitrogen levels. They weigh soil, test its physical and chemical characteristics, and adjust soil composition to enhance yield. They maintain records and prepare chemicals for testing, ensuring accurate data collection and laboratory standards."
247,Soil Conservationist,2132.04,2213.4,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Farming, Forestry and Fisheries Advisors","Soil Conservationist studies soil to prevent erosion and maintain soil fertility. They analyze soil properties, investigate erosion causes, and implement strategies such as reforestation, drainage, and soil management to improve land health. They also oversee construction and maintenance of erosion control measures.","The occupation Soil Conservationist NCO 2015: 2132.0400, NCO 2004: 2213.40 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Farming, Forestry and Fisheries Advisors. Description: Soil Conservationist studies soil to prevent erosion and maintain soil fertility. They analyze soil properties, investigate erosion causes, and implement strategies such as reforestation, drainage, and soil management to improve land health. They also oversee construction and maintenance of erosion control measures."
248,Silviculturist,2132.05,2213.5,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Farming, Forestry and Fisheries Advisors","Computer Security Specialist regulates computer data access, monitors data usage, and updates security files. They ensure employee access is authorized and correct data is maintained. They address employee questions regarding computer security and modify security files as needed, including adding or removing employees and updating names.","The occupation Silviculturist NCO 2015: 2132.0500, NCO 2004: 2213.50 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Farming, Forestry and Fisheries Advisors. Description: Computer Security Specialist regulates computer data access, monitors data usage, and updates security files. They ensure employee access is authorized and correct data is maintained. They address employee questions regarding computer security and modify security files as needed, including adding or removing employees and updating names."
249,Wood Anatomist,2132.06,2213.6,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Farming, Forestry and Fisheries Advisors","Wood Anatomist studies the structure and characteristics of wood, identifying and classifying different types of timber. They examine wood cells, analyze growth patterns, and estimate properties of woods using microscopy and data collection. The role involves researching and preserving anatomical data to aid in accurate timber identification and classification.","The occupation Wood Anatomist NCO 2015: 2132.0600, NCO 2004: 2213.60 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Farming, Forestry and Fisheries Advisors. Description: Wood Anatomist studies the structure and characteristics of wood, identifying and classifying different types of timber. They examine wood cells, analyze growth patterns, and estimate properties of woods using microscopy and data collection. The role involves researching and preserving anatomical data to aid in accurate timber identification and classification."
250,Dairy Scientist,2132.07,2213.7,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Farming, Forestry and Fisheries Advisors","Dairy Technologist develops and implements methods for improving milk production, preservation, and utilization. They apply scientific principles – including microbiology, chemistry, and engineering – to address challenges in the dairy industry, such as preventing bacterial growth, optimizing processing, and enhancing product quality. The role involves conducting experiments and designing solutions for various dairy products.","The occupation Dairy Scientist NCO 2015: 2132.0700, NCO 2004: 2213.70 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Farming, Forestry and Fisheries Advisors. Description: Dairy Technologist develops and implements methods for improving milk production, preservation, and utilization. They apply scientific principles – including microbiology, chemistry, and engineering – to address challenges in the dairy industry, such as preventing bacterial growth, optimizing processing, and enhancing product quality. The role involves conducting experiments and designing solutions for various dairy products."
251,Poultry Scientist,2132.08,2213.8,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Farming, Forestry and Fisheries Advisors","Poultry Farm Worker: This role involves the daily care and management of poultry, including feeding, cleaning, and monitoring the health of the birds. The worker is responsible for maintaining optimal conditions for egg production, such as raising and feeding hens, turkeys, and other poultry. Tasks also include disinfecting areas, observing for signs of illness, and administering vaccines to protect against diseases.","The occupation Poultry Scientist NCO 2015: 2132.0800, NCO 2004: 2213.80 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Farming, Forestry and Fisheries Advisors. Description: Poultry Farm Worker: This role involves the daily care and management of poultry, including feeding, cleaning, and monitoring the health of the birds. The worker is responsible for maintaining optimal conditions for egg production, such as raising and feeding hens, turkeys, and other poultry. Tasks also include disinfecting areas, observing for signs of illness, and administering vaccines to protect against diseases."
252,Pisciculturist,2132.09,2211.8,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Farming, Forestry and Fisheries Advisors","Pisciculturist – Fish Culturist directs the development and management of fisheries. They conduct experiments to study fish breeding, growth, and habits, focusing on artificial hatching methods. This role includes overseeing fish egg collection, fertilizing, incubating, and distributing fish. They also supervise hatchery operations, including restocking and maintaining facilities. The position often specializes in freshwater or saltwater fish cultivation.","The occupation Pisciculturist NCO 2015: 2132.0900, NCO 2004: 2211.80 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Farming, Forestry and Fisheries Advisors. Description: Pisciculturist – Fish Culturist directs the development and management of fisheries. They conduct experiments to study fish breeding, growth, and habits, focusing on artificial hatching methods. This role includes overseeing fish egg collection, fertilizing, incubating, and distributing fish. They also supervise hatchery operations, including restocking and maintaining facilities. The position often specializes in freshwater or saltwater fish cultivation."
253,"Farm Overseer, Crop Production",2132.1,3213.1,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Farming, Forestry and Fisheries Advisors","Manager, Horticulture Farm: This role involves organizing and supervising the planting, maintenance, and growth of fruit and nut crops. Responsibilities include determining crop types, selecting and purchasing plants and equipment, overseeing irrigation, and managing agricultural operations like weeding and harvesting. The role supervises field staff and ensures regular water supply for crop production.","The occupation Farm Overseer, Crop Production NCO 2015: 2132.1000, NCO 2004: 3213.10 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Farming, Forestry and Fisheries Advisors. Description: Manager, Horticulture Farm: This role involves organizing and supervising the planting, maintenance, and growth of fruit and nut crops. Responsibilities include determining crop types, selecting and purchasing plants and equipment, overseeing irrigation, and managing agricultural operations like weeding and harvesting. The role supervises field staff and ensures regular water supply for crop production."
254,"Agronomists and Related Professionals, Other",2132.99,2213.9,Professionals,Science and Engineering Professionals,Life Sciences Professionals,"Farming, Forestry and Fisheries Advisors","Agronomists and related professionals oversee farming and forestry activities, including planting, irrigation, weeding, harvesting, and crop sales. They manage personnel, production records, and custom order fulfillment. They may also focus on product cleaning, grading, packaging, and customer service, such as planter design and maintenance. They cultivate crops, including out-of-season seedlings, using greenhouses and harvesting equipment.","The occupation Agronomists and Related Professionals, Other NCO 2015: 2132.9900, NCO 2004: 2213.90 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Farming, Forestry and Fisheries Advisors. Description: Agronomists and related professionals oversee farming and forestry activities, including planting, irrigation, weeding, harvesting, and crop sales. They manage personnel, production records, and custom order fulfillment. They may also focus on product cleaning, grading, packaging, and customer service, such as planter design and maintenance. They cultivate crops, including out-of-season seedlings, using greenhouses and harvesting equipment."
255,Ecologist,2133.01,2211.25,Professionals,Science and Engineering Professionals,Life Sciences Professionals,Environmental Protection Professionals,"Ecologist studies the impacts of environmental factors on plant and animal life, conducting fieldwork and analyzing data to develop solutions for environmental protection and conservation. They investigate growth, distribution, and resource availability, classifying areas and promoting sustainable agricultural practices.","The occupation Ecologist NCO 2015: 2133.0100, NCO 2004: 2211.25 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Environmental Protection Professionals. Description: Ecologist studies the impacts of environmental factors on plant and animal life, conducting fieldwork and analyzing data to develop solutions for environmental protection and conservation. They investigate growth, distribution, and resource availability, classifying areas and promoting sustainable agricultural practices."
256,Environment Scientist (Including Health),2133.02,2211.27,Professionals,Science and Engineering Professionals,Life Sciences Professionals,Environmental Protection Professionals,"Environment Scientist (Including Health) conducts research and investigations to protect the environment and human health. They analyze data from various sources – air, soil, water, and emissions – to identify pollution, assess hazards, and determine their impact. The role involves collecting, synthesizing, and interpreting environmental data, conducting audits, and designing studies to ensure environmental safety and compliance.","The occupation Environment Scientist (Including Health) NCO 2015: 2133.0200, NCO 2004: 2211.27 belongs to division Professionals, subdivision Science and Engineering Professionals, group Life Sciences Professionals, and family Environmental Protection Professionals. Description: Environment Scientist (Including Health) conducts research and investigations to protect the environment and human health. They analyze data from various sources – air, soil, water, and emissions – to identify pollution, assess hazards, and determine their impact. The role involves collecting, synthesizing, and interpreting environmental data, conducting audits, and designing studies to ensure environmental safety and compliance."
